index	word	frequency	wortart	accent_p	syll_n
11878	Erscheinungsbild	6	N	2	4
11879	erschiessen	169	V	2	3
11880	Erschiessung	14	N	2	3
11881	erschimmern	0	V	2	3
11882	erschlaffen	5	V	2	3
11883	erschlafft	1	A	2	2
11884	Erschlaffung	0	N	2	3
11885	erschlagen	63	V	2	3
11886	erschleichen	1	V	2	3
11887	Erschleichung	0	N	2	3
11888	erschliessen	169	V	2	3
11889	erschliessbar	3	A	2	3
11890	Erschliessung	42	N	2	3
11891	erschoepfen	78	V	2	3
11892	erschoepfbar	0	A	2	3
11893	erschoepflich	0	A	2	3
11894	erschoepft	66	A	2	2
11895	Erschoepfung	32	N	2	3
11896	Erschoepfungszustand	8	N	2	5
11897	erschrecken	72	V	2	3
11898	erschrecken	31	V	2	3
11899	erschreckend	0	A	2	3
11900	Erschrockenheit	0	N	2	4
11901	erschuettern	143	V	2	3
11902	erschuetternd	33	A	2	3
11903	Erschuetterung	44	N	2	4
11904	erschweren	100	V	2	3
11905	erschwerend	6	A	2	3
11906	Erschwernis	6	N	2	3
11907	Erschwerung	11	N	2	3
11908	erschwindeln	2	V	2	3
11909	erschwingen	0	V	2	3
11910	erschwingbar	1	A	2	3
11911	erschwinglich	3	A	2	3
11912	Erschwinglichkeit	0	N	2	4
11913	ersehen	39	V	2	3
11914	ersehnen	22	V	2	3
11915	ersetzen	291	V	2	3
11916	ersetzbar	3	A	2	3
11917	Ersetzbarkeit	1	N	2	4
11918	ersetzlich	0	A	2	3
11919	Ersetzung	7	N	2	3
11920	ersichtlich	34	A	2	3
11921	ersinnen	6	V	2	3
11922	ersinnlich	0	A	2	3
11923	ersitzen	0	V	2	3
11924	Ersitzung	0	N	2	3
11925	erspaehen	8	V	2	3
11926	ersparen	98	V	2	3
11927	Ersparnis	39	N	2	3
11928	Ersparung	1	N	2	3
11929	erspriessen	0	V	2	3
11930	erspriesslich	2	A	2	3
11931	Erspriesslichkeit	0	N	2	4
11934	erstarken	15	V	2	3
11935	Erstarkung	0	N	2	3
11936	erstarren	56	V	2	3
11937	Erstarrung	14	N	2	3
11938	erstatten	98	V	2	3
11939	Erstattung	8	N	2	3
11940	erstauffuehren	6	V	1	4
11941	Erstauffuehrung	21	N	1	4
11942	erstaunen	161	V	2	3
11943	Erstaunen	63	N	2	3
11944	erstaunenswert	0	A	2	4
11945	erstaunlich	213	A	2	3
11946	Erstausgabe	4	N	1	4
11947	erstbeste	1	A	1	3
11948	Erstbesteigung	1	N	1	4
11949	Erstdruck	0	N	1	2
11950	erste	3139	A	1	2
11951	erstechen	9	V	2	3
11952	erstehen	38	V	2	3
11953	Ersteher	0	N	2	3
11954	Erstehung	0	N	2	3
11955	ersteigen	5	V	2	3
11956	ersteigbar	0	A	2	3
11957	Ersteigbarkeit	0	N	2	4
11958	ersteigern	7	V	2	3
11959	Ersteiger	0	N	2	3
11960	Ersteigung	0	N	2	3
11961	erstellen	48	V	2	3
11962	Erstellung	15	N	2	3
11966	ersterwaehnt	0	A	1	3
11967	Erstgebaerende	0	N	1	5
11968	erstgeboren	0	A	1	4
11969	Erstgeborene	0	N	1	5
11970	Erstgeburt	0	N	1	3
11971	Erstgeburtsrecht	4	N	1	4
11972	erstgenannt	8	A	1	3
11973	ersticken	53	V	2	3
11974	Erstickung	0	N	2	3
11975	Erstickungstod	0	N	2	4
11976	erstklassig	126	A	1	3
11977	Erstkommunion	0	N	1	5
11978	erstmalig	107	A	1	3
11979	Erstmaligkeit	0	N	1	4
11981	erstrahlen	4	V	2	3
11982	erstrangig	14	A	1	3
11983	erstreben	66	V	2	3
11984	erstrebenswert	13	A	2	4
11985	erstrecken	99	V	2	3
11986	Erstreckung	0	N	2	3
11987	erststellig	7	A	1	3
11988	erstunken	2	A	2	3
11989	erstuermen	6	V	2	3
11990	Erstuermung	3	N	2	3
11991	erstveroeffentlichen	0	V	1	6
11992	ersuchen	70	V	2	3
11993	Ersuchen	34	N	2	3
11994	ertappen	38	V	2	3
11995	erteilen	303	V	2	3
11996	Erteilung	18	N	2	3
11997	ertoenen	47	V	2	3
11998	ertoeten	0	V	2	3
11999	ertragen	93	V	2	3
12000	Ertrag	336	N	2	2
12001	ertragbar	1	A	2	3
12002	ertragfaehig	0	A	2	4
12003	Ertragfaehigkeit	0	N	2	5
12004	ertraeglich	42	A	2	3
12005	ertraglos	0	A	2	3
12006	Ertraegnis	4	N	2	3
12007	ertraegnisreich	0	A	2	4
12008	ertragreich	16	A	2	3
12009	ertragssicher	1	A	2	4
12010	Ertragssteigerung	5	N	2	5
12011	ertraenken	6	V	2	3
12012	Ertraenkung	0	N	2	3
12013	ertraeumen	8	V	2	3
12014	ertrinken	42	V	2	3
12015	Ertrinken	7	N	2	3
12016	ertrotzen	1	V	2	3
12017	ertuechtigen	0	V	2	4
12018	Ertuechtigung	2	N	2	4
12019	eruebrigen	13	V	2	4
12020	eruptieren	0	V	3	4
12021	Eruption	6	N	4	4
12022	eruptiv	0	A	3	3
12023	Eruptivgestein	0	N	3	5
12024	erwachen	109	V	2	3
12025	erwachsen	115	V	2	3
12026	Erwachsene	129	N	2	4
12027	Erwachsensein	1	N	2	4
12028	erwaegen	130	V	2	3
12029	erwaegenswert	1	A	2	4
12030	Erwaegung	98	N	2	3
12031	erwaehlen	8	V	2	3
12032	erwaehnen	410	V	2	3
12033	erwaehnenswert	6	A	2	4
12035	Erwaehnung	29	N	2	3
12036	erwandern	2	V	2	3
12037	erwaermen	31	V	2	3
12038	Erwaermung	21	N	2	3
12039	erwarten	1558	V	2	3
12040	Erwarten	19	N	2	3
12041	Erwartung	288	N	2	3
12042	erwecken	71	V	2	3
12043	Erweckung	0	N	2	3
12044	erwehren	8	V	2	3
12045	erweichen	10	V	2	3
12046	erweichbar	0	A	2	3
12047	Erweichung	3	N	2	3
12048	erweisen	387	V	2	3
12049	Erweis	1	N	2	2
12050	erweisbar	0	A	2	3
12051	erweislich	2	A	2	3
12052	erweitern	353	V	2	3
12053	Erweiterung	197	N	2	4
12054	erwerben	261	V	2	3
12055	Erwerb	85	N	2	2
12056	Erwerber	4	N	2	3
12057	erwerbsfaehig	0	A	2	4
12058	erwerbslos	2	A	2	3
12059	Erwerbslosigkeit	1	N	2	5
12060	erwerbstaetig	3	A	2	4
12061	Erwerbstaetige	8	N	2	5
12062	erwerbsunfaehig	4	A	2	5
12063	Erwerbung	3	N	2	3
12064	erwidern	209	V	2	3
12065	Erwiderung	21	N	2	4
12066	erwiesen	108	A	2	3
12067	erwirken	26	V	2	3
12068	erwischen	100	V	2	3
12069	erworben	110	A	2	3
12070	erwuenscht	97	A	2	2
12071	erwuergen	22	V	2	3
12072	erzen	0	V	1	2
12074	erzaehlen	846	V	2	3
12075	erzaehlenswert	3	A	2	4
12076	Erzaehler	27	N	2	3
12077	erzaehlerisch	3	A	2	4
12078	Erzaehlung	142	N	2	3
12079	Erzbau	0	N	1	2
12080	Erzbischof	82	N	1	3
12081	erzbischoeflich	5	A	1	4
12082	erzdumm	0	A	1	2
12083	erzeigen	2	V	2	3
12084	erzen	2	A	1	2
12085	Erzengel	10	N	1	3
12086	erzeugen	307	V	2	3
12087	Erzeuger	29	N	2	3
12088	Erzeugnis	363	N	2	3
12089	Erzeugung	106	N	2	3
12090	erzfaul	0	A	1	2
12091	Erzfeind	5	N	1	2
12092	Erzgauner	0	N	1	3
12093	Erzgebirge	18	N	1	4
12094	Erzgewinnung	0	N	1	4
12095	erzhaltig	0	A	1	3
12096	Erzhalunke	0	N	1	4
12097	Erzherzog	14	N	1	3
12098	Erzherzogtum	0	N	1	4
12099	erzhoeflich	0	A	1	3
12100	erziehen	173	V	2	3
12101	erziehbar	0	A	2	3
12102	Erzieher	47	N	2	3
12103	erzieherisch	24	A	2	4
12104	Erziehung	366	N	2	3
12105	Erziehungsheim	4	N	2	4
12106	Erziehungswissenschaft	2	N	2	6
12107	erzielen	725	V	2	3
12108	Erzielung	10	N	2	3
12109	erzittern	6	V	2	3
12110	erzkonservativ	0	A	1	5
12111	erzuernen	3	V	2	3
12112	erzwingen	137	V	2	3
12113	Erzwingung	2	N	2	3
12116	Esche	8	N	1	2
12117	Eschenholz	0	N	1	3
12118	Esel	72	N	1	2
12119	Eselsohr	1	N	1	3
12120	eskalieren	2	V	3	4
12121	Eskimo	6	N	1	3
12122	Eskorte	3	N	2	3
12123	eskortieren	5	V	3	4
12124	Esoterik	1	N	3	4
12125	esoterisch	3	A	3	4
12126	Espe	1	N	1	2
12128	Esprit	10	N	2	2
12129	essen	400	V	1	2
12131	Essayist	2	N	3	3
12132	essayistisch	0	A	3	4
12133	essbar	20	A	1	2
12134	Essbarkeit	0	N	1	3
12135	Esse	544	N	1	2
12136	Essen	559	N	1	2
12137	Essenszeit	0	N	1	3
12138	essential	0	A	4	4
12139	essentiell	7	A	4	4
12140	Esser	4	N	1	2
12141	Essgeschirr	1	N	1	3
12143	Essiggurke	0	N	1	4
12144	Essigsaeure	1	N	1	4
12145	Esskultur	0	N	1	3
12146	Essloeffel	2	N	1	3
12147	esslustig	0	A	1	3
12148	Essraum	1	N	1	2
12149	Esstisch	4	N	1	2
12150	Essunlust	0	N	1	3
12151	Essware	1	N	1	3
12152	Esszimmer	6	N	1	3
12153	Ester	5	N	1	2
12155	Estrade	5	N	2	3
12156	Estragon	0	N	1	3
12158	Etablierung	4	N	3	4
12160	Etage	88	N	2	3
12161	Etagenbett	0	N	2	4
12162	Etappe	181	N	2	3
12163	Etat	69	N	2	2
12164	etatmaessig	0	A	2	4
12166	Ethiker	0	N	1	3
12167	ethisch	75	A	1	2
12172	Ethos	118	N	1	2
12179	etwaig	52	A	1	3
12181	Etwas	17	N	1	2
12184	etymologisch	5	A	4	5
12187	eucharistisch	0	A	3	4
12195	Eule	9	N	1	2
12196	Eulenspiegel	15	N	1	4
12200	euphorisch	2	A	2	3
12210	europaeisieren	3	V	5	6
12211	Europium	0	N	2	4
12212	Eurovision	3	N	5	5
12213	Euter	8	N	1	2
12216	Evakuierung	5	N	4	5
12217	Evaluation	0	N	6	6
12219	Evangelienbuch	1	N	3	6
12220	Evangelisation	0	N	7	7
12221	evangelisch	202	A	3	4
12222	Evangelist	2	N	4	4
12223	Evangelium	41	N	3	5
12224	Evaporation	0	N	6	6
12225	evaporieren	1	V	4	5
12226	eventual	0	A	4	4
12227	Eventualitaet	4	N	6	6
12229	evident	7	A	3	3
12230	Evidenz	9	N	3	3
12233	Evolutionstheorie	0	N	5	8
12235	ewig	251	A	1	2
12236	Ewigkeit	80	N	1	3
12239	Exaktheit	7	N	2	3
12240	Exaltation	1	N	5	5
12241	exaltieren	0	V	3	4
12242	exaltiert	0	A	3	3
12244	Examenskandidat	0	N	2	6
12245	Examinator	1	N	4	5
12246	examinieren	1	V	4	5
12248	exekutieren	4	V	4	5
12249	Exekution	4	N	5	5
12250	exekutiv	0	A	4	4
12251	Exekutive	26	N	4	5
12252	Exekutor	1	N	3	4
12254	Exemplar	75	N	3	3
12255	exemplarisch	11	A	3	4
12256	Exemplifikation	0	N	7	7
12257	exemplifizieren	3	V	5	6
12259	Exerzierplatz	6	N	3	4
12262	Exhibition	1	N	5	5
12263	Exhibitionismus	1	N	6	7
12264	Exhibitionist	0	N	6	6
12266	exiliert	1	A	3	3
12267	existent	16	A	3	3
12268	existential	4	A	5	5
12269	Existentialismus	7	N	6	7
12270	Existentialist	1	N	6	6
12271	existentiell	62	A	5	5
12273	Existenzangst	8	N	3	4
12274	Existenzberechtigung	7	N	3	7
12275	Existenzgrundlage	2	N	3	6
12276	Existenzminimum	16	N	3	6
12277	Existenzphilosophie	3	N	3	7
12278	existieren	174	V	3	4
12279	Exklamation	0	N	5	5
12281	Exklusion	13	N	4	4
12282	exklusiv	60	A	3	3
12283	Exklusivitaet	2	N	5	5
12284	Exkommunikation	1	N	7	7
12288	Exkretion	0	N	4	4
12289	exkretorisch	0	A	3	4
12290	Exkulpation	1	N	5	5
12291	exkulpieren	0	V	3	4
12298	Exorzist	1	N	3	3
12299	exoterisch	0	A	3	4
12300	Exotik	0	N	2	3
12303	Expansion	104	N	4	4
12304	expansionistisch	3	A	5	6
12305	expansiv	22	A	3	3
12309	Expedit	0	N	3	3
12310	Expedition	48	N	5	5
12311	Expeditionsleiter	1	N	5	7
12312	Expeditor	0	N	3	4
12315	experimental	0	A	5	5
12316	experimentell	109	A	5	5
12317	experimentieren	17	V	5	6
12319	Expertise	5	N	3	4
12320	Explantation	0	N	5	5
12321	Explikation	0	N	5	5
12322	explizieren	2	V	3	4
12325	explodierbar	0	A	3	4
12326	Exploitation	0	N	6	6
12327	exploitieren	0	V	4	5
12328	Exploration	3	N	5	5
12329	explorativ	0	A	4	4
12330	explorieren	1	V	3	4
12331	Explosion	103	N	4	4
12332	explosiv	16	A	3	3
12333	Exponent	12	N	3	3
12334	Exponentialfunktion	0	N	5	8
12335	exponieren	4	V	3	4
12336	exponiert	7	A	3	3
12338	Exportanteil	21	N	2	4
12339	Exportartikel	9	N	2	5
12340	Exporteur	23	N	3	3
12341	exportieren	71	V	3	4
12343	Express	6	N	2	2
12344	Expressbote	1	N	2	4
12346	Expressionismus	9	N	5	6
12347	Expressionist	6	N	5	5
12348	expressiv	9	A	3	3
12349	Expressivitaet	1	N	5	5
12350	Expropriation	0	N	6	6
12351	expropriieren	0	V	4	5
12352	Expulsion	0	N	4	4
12353	expulsiv	0	A	3	3
12355	exspiratorisch	0	A	4	5
12356	exspirieren	0	V	3	4
12359	Extension	0	N	4	4
12360	extensiv	8	A	3	3
12363	Externe	2	N	2	3
12364	exterritorial	5	A	6	6
12366	extragalaktisch	1	A	4	5
12367	extrahieren	1	V	3	4
12369	Extraktion	0	N	4	4
12371	Extrapolation	1	N	6	6
12372	Extrapost	0	N	1	3
12373	extraterrestrisch	0	A	4	5
12374	extravagant	5	A	4	4
12375	Extravaganz	3	N	4	4
12377	Extrem	39	N	2	2
12378	Extremismus	3	N	3	4
12379	Extremist	16	N	3	3
12380	extremistisch	15	A	3	4
12381	Extremitaet	5	N	4	4
12383	exzellent	5	A	3	3
12384	Exzellenz	12	N	3	3
12385	Exzentrik	1	N	2	3
12386	Exzentriker	2	N	2	4
12387	exzentrisch	4	A	2	3
12388	Exzentrizitaet	0	N	5	5
12390	exzeptionell	0	A	5	5
12393	exzessiv	7	A	3	3
12395	fabeln	0	V	1	2
12396	Fabel	29	N	1	2
12397	Fabelbuch	0	N	1	3
12398	Fabeldichter	0	N	1	4
12399	Fabelei	0	N	3	3
12400	fabelhaft	23	A	1	3
12401	Fabeltier	4	N	1	3
12402	Fabrik	202	N	2	2
12403	Fabrikant	52	N	3	3
12404	Fabrikarbeit	0	N	2	4
12405	Fabrikarbeiter	6	N	2	5
12406	Fabrikat	39	N	3	3
12407	Fabrikation	26	N	5	5
12408	fabrizieren	14	V	3	4
12409	Fabulant	0	N	3	3
12410	fabulieren	2	V	3	4
12411	Facette	2	N	2	3
12412	facettieren	1	V	3	4
12414	fachen	0	V	1	2
12415	Facharbeiter	55	N	1	4
12416	Facharzt	40	N	1	2
12417	fachaerztlich	3	A	1	3
12418	Fachbuch	10	N	1	2
12419	faecheln	4	V	1	2
12420	faechern	3	V	1	2
12421	Faecher	29	N	1	2
12422	faecherfoermig	3	A	1	4
12423	faecheruebergreifend	1	A	1	6
12424	fachfremd	1	A	1	2
12425	Fachgebiet	31	N	1	3
12426	fachgemaess	0	A	1	3
12427	fachgerecht	6	A	1	3
12428	Fachgeschaeft	18	N	1	3
12429	Fachhochschule	12	N	1	4
12430	fachkompetent	0	A	1	4
12431	fachlich	112	A	1	2
12432	Fachliteratur	10	N	1	5
12433	Fachmann	274	N	1	2
12434	fachmaennisch	18	A	1	3
12435	fachmaessig	0	A	1	3
12436	fachsimpeln	1	V	1	3
12437	Fachsimpelei	1	N	4	4
12438	fachspezifisch	2	A	1	4
12439	Fachwerk	1	N	1	2
12440	Fachwerkhaus	5	N	1	3
12441	fackeln	0	V	1	2
12442	Fackel	0	N	1	2
12443	Fackelzug	0	N	1	3
12445	faedeln	2	V	1	2
12446	Faden	48	N	1	2
12447	Faden	48	N	1	2
12448	fadenduenn	0	A	1	3
12449	fadenscheinig	9	A	1	4
12450	Fadenschlag	2	N	1	3
12451	Fadheit	2	N	1	2
12452	Faedlein	0	N	1	2
12454	Fagottist	0	N	3	3
12455	faehig	114	A	1	2
12456	Faehigkeit	224	N	1	3
12458	Faehnchen	10	N	1	2
12459	fahnden	13	V	1	2
12460	Fahndung	10	N	1	2
12461	Fahne	166	N	1	2
12462	Fahnenflucht	6	N	1	3
12463	fahnenfluechtig	1	A	1	4
12464	Fahnenmast	1	N	1	3
12465	Faehnrich	5	N	1	2
12466	fahren	2884	V	1	2
12467	Fahrbahn	79	N	1	2
12468	fahrbar	15	A	1	2
12469	fahrbereit	14	A	1	3
12470	Faehre	21	N	1	2
12472	fahrenlassen	1	V	1	4
12473	Fahrer	345	N	1	2
12474	Fahrerei	0	N	3	3
12475	Fahrerflucht	8	N	1	3
12476	Fahrerin	10	N	1	3
12477	Fahrgast	61	N	1	2
12478	fahrig	13	A	1	2
12479	Fahrigkeit	0	N	1	3
12480	Fahrkarte	43	N	1	3
12481	fahrlaessig	50	A	1	3
12482	Fahrlaessigkeit	23	N	1	4
12483	Faehrmann	0	N	1	2
12484	Fahrplan	24	N	1	2
12485	fahrplanmaessig	5	A	1	4
12486	Fahrpreis	22	N	1	2
12487	Fahrrad	107	N	1	2
12488	Faehrschiff	3	N	1	2
12489	Fahrschule	14	N	1	3
12490	Fahrstuhl	24	N	1	2
12492	Faehrte	19	N	1	2
12493	Faehrtensucher	2	N	1	4
12494	Fahrtrichtung	18	N	1	3
12495	Fahrwasser	8	N	1	3
12496	Fahrzeug	383	N	1	2
12500	Fakir	1	N	1	2
12502	faksimilieren	2	V	4	5
12503	Faktenwissen	0	N	1	4
12505	faktisch	216	A	1	2
12507	Faktor	224	N	1	2
12511	Faktura	0	N	2	3
12512	fakturieren	2	V	3	4
12513	Fakturist	0	N	3	3
12517	Falbe	1	N	1	2
12518	Falke	36	N	1	2
12519	faellen	326	V	1	2
12520	fallen	1668	V	1	2
12523	Fallbeil	2	N	1	2
12524	Falle	199	N	1	2
12525	fallenlassen	23	V	1	4
12526	Fallgeschwindigkeit	4	N	1	5
12527	fallibel	0	A	2	3
12528	faellig	120	A	1	2
12529	Faelligkeit	6	N	1	3
12530	Fallobst	1	N	1	2
12531	Fallot	0	N	2	2
12533	Fallschirm	27	N	1	2
12534	Fallschirmtruppe	0	N	1	4
12535	Fallsucht	0	N	1	2
12536	fallsuechtig	0	A	1	3
12537	Falltuer	16	N	1	2
12539	faelschen	25	V	1	2
12541	Faelscher	8	N	1	2
12542	Falschgeld	5	N	1	2
12543	Falschheit	5	N	1	2
12544	faelschlich	11	A	1	2
12546	falschspielen	0	V	1	3
12547	Falschspieler	1	N	1	3
12548	Faelschung	14	N	1	2
12550	falsettieren	0	V	3	4
12551	Falsifikation	0	N	6	6
12552	falsifizieren	0	V	4	5
12554	falten	23	V	1	2
12555	Falte	29	N	1	2
12556	faelteln	0	V	1	2
12557	Faltengebirge	0	N	1	5
12558	faltenlos	1	A	1	3
12559	faltenreich	0	A	1	3
12560	Falter	17	N	1	2
12561	familiaer	39	A	4	4
12562	Familiaritaet	0	N	6	6
12564	Familienangelegenheit	7	N	2	9
12565	Familienanschluss	1	N	2	6
12568	Fanatiker	20	N	2	4
12569	fanatisch	26	A	2	3
12570	fanatisieren	4	V	4	5
12571	Fanatismus	23	N	3	4
12574	fangen	427	V	1	2
12576	Faenger	0	N	1	2
12577	Fangkorb	0	N	1	2
12579	Fantasie	6	N	3	3
12580	fantastisch	3	A	2	3
12581	faerben	53	V	1	2
12582	Farbband	18	N	1	2
12583	Farbe	406	N	1	2
12584	farbecht	0	A	1	2
12585	Faerbemittel	0	N	1	4
12586	farbenblind	1	A	1	3
12587	farbenfreudig	4	A	1	4
12588	farbenfroh	11	A	1	3
12589	Farbenlehre	11	N	1	4
12590	farbenpraechtig	17	A	1	4
12591	Farbfernsehen	9	N	1	4
12592	Farbfernseher	4	N	1	4
12593	farbig	165	A	1	2
12594	Farbige	39	N	1	3
12595	Farbigkeit	9	N	1	3
12596	Farbkasten	0	N	1	3
12597	Farbkombination	0	N	1	6
12598	farblos	25	A	1	2
12599	Farblosigkeit	0	N	1	4
12600	Farbphotographie	2	N	1	5
12601	Farbstoff	23	N	1	2
12602	Faerbung	34	N	1	2
12603	Farce	17	N	1	2
12604	farcieren	0	V	2	3
12606	Farmer	24	N	1	2
12607	Farmersfrau	0	N	1	3
12609	Farnkraut	3	N	1	2
12610	Faerse	11	N	1	2
12611	fasen	1145	V	1	2
12612	Fasan	4	N	2	2
12613	faschieren	0	V	2	3
12614	Fasching	14	N	1	2
12615	Faschingszug	0	N	1	3
12617	Faschist	66	N	2	2
12618	faschistisch	230	A	2	3
12619	faschistoid	0	A	4	4
12620	faseln	8	V	1	2
12621	Faselei	2	N	3	3
12622	fasern	1	V	1	2
12623	Faser	42	N	1	2
12624	Faeserchen	0	N	1	3
12625	faserig	14	A	1	3
12626	Faserung	0	N	1	3
12628	fashionabel	0	A	1	4
12629	Fasnacht	1	N	1	2
12630	fassen	657	V	1	2
12633	Fassadenkletterer	0	N	2	6
12634	fassbar	14	A	1	2
12635	Fassbier	2	N	1	2
12637	fasslich	0	A	1	2
12640	fassonieren	0	V	3	4
12641	Fassung	92	N	1	2
12642	fassungslos	24	A	1	3
12643	Fassungslosigkeit	1	N	1	5
12644	Fassungsvermoegen	9	N	1	5
12646	fasten	5	V	1	2
12647	Fastebene	0	N	1	4
12648	Fastelabend	0	N	1	4
12649	Fastenkur	0	N	1	3
12650	Fastenzeit	2	N	1	3
12651	Fastnacht	3	N	1	2
12652	Fasttag	0	N	1	2
12653	Faszination	10	N	5	5
12654	faszinieren	47	V	3	4
12655	fatal	30	A	2	2
12657	Fatalismus	2	N	3	4
12658	fatalistisch	5	A	3	4
12659	Fatalitaet	1	N	4	4
12661	fauchen	19	V	1	2
12662	faulen	17	V	1	2
12664	Faeule	2	N	1	2
12665	faulenzen	2	V	1	3
12666	Faulenzer	2	N	1	3
12667	Faulenzerei	1	N	4	4
12668	Faulpelz	2	N	1	2
12669	Faultier	2	N	1	2
12671	Fauna	3	N	1	2
12673	faustdick	2	A	1	2
12674	Fausthandschuh	2	N	1	3
12675	Faustkampf	2	N	1	2
12676	Faeustling	0	N	1	2
12677	Faustschlag	4	N	1	2
12682	Faxe	8	N	1	2
12686	febril	0	A	2	2
12688	fechten	19	V	1	2
12689	Fechter	9	N	1	2
12690	federn	13	V	1	2
12691	Feder	113	N	1	2
12692	Federball	7	N	1	3
12693	Federbett	4	N	1	3
12694	federfuehrend	9	A	1	4
12695	Federgewicht	9	N	1	4
12696	Federkleid	1	N	1	3
12697	federleicht	6	A	1	3
12698	Federlesen	1	N	1	4
12699	Federstrich	7	N	1	3
12700	Federvieh	2	N	1	3
12701	federweiss	0	A	1	3
12702	fedrig	0	A	1	2
12704	feenhaft	0	A	1	3
12705	fegen	35	V	1	2
12706	Fegefeuer	5	N	1	4
12707	Feger	0	N	1	2
12708	Fehde	11	N	1	2
12710	fehlen	756	V	1	2
12712	Fehlanzeige	5	N	1	4
12713	fehlbar	0	A	1	2
12714	fehlbesetzen	0	V	1	4
12715	Fehldiagnose	2	N	1	5
12716	Fehlentscheidung	22	N	1	4
12717	Fehler	341	N	1	2
12718	fehlerfrei	22	A	1	3
12719	fehlerhaft	21	A	1	3
12720	fehlerlos	9	A	1	3
12721	fehlgehen	2	V	1	3
12722	fehlschlagen	12	V	1	3
12723	Fehlschluss	4	N	1	2
12724	Fehltritt	5	N	1	2
12725	Fehlurteil	6	N	1	3
12726	Fehlverhalten	0	N	1	4
12727	Fehlzuendung	1	N	1	3
12728	feien	43	V	1	2
12729	feiern	390	V	1	2
12730	Feier	65	N	1	2
12731	Feierabend	89	N	1	4
12732	feierlich	146	A	1	3
12733	Feierlichkeit	39	N	1	4
12734	Feiertag	65	N	1	3
12735	feiertaeglich	2	A	1	4
12738	feige	13	A	1	2
12739	Feige	4	N	1	2
12740	Feigenbaum	3	N	1	3
12741	Feigenblatt	2	N	1	3
12742	Feigenkaktus	0	N	1	4
12743	Feigheit	9	N	1	2
12744	feigherzig	0	A	1	3
12745	Feigling	16	N	1	2
12746	feilen	15	V	1	2
12748	feilbieten	8	V	1	3
12749	Feilbietung	0	N	1	3
12750	Feile	5	N	1	2
12751	feilhalten	0	V	1	3
12752	feilschen	5	V	1	2
12753	feimen	0	V	1	2
12757	feindlich	81	A	1	2
12758	Feindlichkeit	1	N	1	3
12759	Feindschaft	27	N	1	2
12760	feindschaftlich	0	A	1	3
12761	feindselig	23	A	1	3
12762	feinfuehlend	1	A	1	3
12763	feinfuehlig	7	A	1	3
12764	Feinfuehligkeit	2	N	1	4
12765	Feingefuehl	2	N	1	3
12766	feingemahlen	1	A	1	4
12767	feingeschnitten	2	A	1	4
12768	feingesponnen	1	A	1	4
12769	feingliederig	0	A	1	4
12770	feingliedrig	6	A	1	3
12771	Feingold	42	N	1	2
12772	Feinheit	13	N	1	2
12773	feinkoernig	2	A	1	3
12774	Feinkoernigkeit	0	N	1	4
12775	Feinkost	1	N	1	2
12776	feinmachen	0	V	1	3
12777	feinporig	0	A	1	3
12778	Feinwaschmittel	0	N	1	4
12780	Feistheit	0	N	1	2
12781	feixen	1	V	1	2
12783	Feldarbeit	6	N	1	3
12784	Feldblume	0	N	1	3
12786	Feldhueter	1	N	1	3
12787	Feldpost	0	N	1	2
12788	Feldwebel	22	N	1	3
12789	Feldweg	8	N	1	2
12790	Feldzug	56	N	1	2
12791	felgen	0	V	1	2
12792	Felge	11	N	1	2
12793	Felgenbremse	0	N	1	4
12795	Fellmuetze	1	N	1	3
12797	felsenfest	8	A	1	3
12798	Felsenspitze	0	N	1	4
12799	Felsenvorsprung	0	N	1	4
12800	Felsvorsprung	0	N	1	3
12801	Felswand	10	N	1	2
12802	Feme	0	N	1	2
12805	Femininum	0	N	3	4
12806	Feminismus	0	N	3	4
12807	feministisch	0	A	3	4
12809	Fenster	534	N	1	2
12810	Fensterbank	6	N	1	3
12811	Fensterglas	4	N	1	3
12812	fensterlos	11	A	1	3
12813	Fensternische	0	N	1	4
12814	Fensterscheibe	41	N	1	4
12815	Ferien	123	N	1	3
12816	Ferienhaus	20	N	1	4
12817	Ferienheim	12	N	1	4
12818	Ferienort	11	N	1	4
12819	Ferienreise	9	N	1	5
12820	Ferienzeit	6	N	1	4
12821	Ferkel	15	N	1	2
12822	Ferkelei	0	N	3	3
12825	fermentativ	0	A	4	4
12826	fermentieren	0	V	3	4
12830	fernbleiben	26	V	1	3
12836	Fernfahrer	10	N	1	3
12837	ferngelenkt	8	A	1	3
12838	Ferngespraech	8	N	1	3
12839	ferngesteuert	4	A	1	4
12840	fernhalten	38	V	1	3
12841	Fernkurs	2	N	1	2
12842	Fernlaster	2	N	1	3
12843	fernlenken	1	V	1	3
12844	Fernrohr	14	N	1	2
12845	Fernschreiber	42	N	1	3
12846	fernsehen	2	V	1	3
12847	Fernsehansager	0	N	1	5
12848	Fernsehapparat	20	N	1	5
12849	Fernsehen	532	N	1	3
12850	Fernseher	15	N	1	3
12851	Fernsehinterview	15	N	1	5
12852	fernsichtig	0	A	1	3
12853	Fernsichtigkeit	0	N	1	4
12854	Fernsprechamt	5	N	1	3
12855	Fernsprechautomat	0	N	1	5
12856	Fernsprecher	5	N	1	3
12857	Fernsprechzelle	2	N	1	4
12858	fernsteuern	1	V	1	3
12859	Fernsteuerung	2	N	1	4
12860	Fernunterricht	9	N	1	4
12861	Fernweh	2	N	1	2
12864	Ferse	11	N	1	2
